epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.03123,21.5909,1.934021,28.125,0.0001
2,1.359121,59.0909,1.584492,40.625,9.972883382072954e-05
3,0.779225,82.9545,1.042614,65.625,9.891830623632339e-05
4,0.437422,91.4773,0.276396,100.0,9.757729755661011e-05
5,0.249322,97.1591,0.129601,100.0,9.572050015330873e-05
6,0.153038,97.1591,0.120573,100.0,9.336825748732972e-05
7,0.140969,97.7273,0.12955,96.875,9.05463412215599e-05
8,0.120379,97.1591,0.110616,96.875,8.728566886113101e-05
9,0.081068,98.8636,0.036113,100.0,8.362196501476347e-05
10,0.093433,98.2955,0.040518,100.0,7.959536998847741e-05
11,0.139744,97.1591,0.033857,100.0,7.524999999999999e-05
12,0.06542,99.4318,0.016485,100.0,7.06334638322521e-05
13,0.07602,98.2955,0.019231,100.0,6.579634122155988e-05
14,0.044979,98.8636,0.023103,100.0,6.079162869547907e-05
15,0.028836,100.0,0.008948,100.0,5.567415893174884e-05
16,0.02689,99.4318,0.007298,100.0,5.05e-05
