epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.23038,14.7727,2.075935,15.625,0.0001
2,1.472679,53.4091,1.527892,50.0,9.972883382072954e-05
3,0.953302,76.1364,0.848834,87.5,9.891830623632339e-05
4,0.582157,86.9318,0.465215,87.5,9.757729755661011e-05
5,0.300145,95.4545,0.274161,93.75,9.572050015330873e-05
6,0.199039,98.2955,0.16244,93.75,9.336825748732972e-05
7,0.182313,96.0227,0.198041,93.75,9.05463412215599e-05
8,0.13807,98.2955,0.097332,96.875,8.728566886113101e-05
9,0.111586,97.7273,0.174208,96.875,8.362196501476347e-05
10,0.113516,97.1591,0.097836,100.0,7.959536998847741e-05
11,0.094126,98.2955,0.120902,96.875,7.524999999999999e-05
12,0.044292,100.0,0.153778,96.875,7.06334638322521e-05
13,0.037352,99.4318,0.031385,100.0,6.579634122155988e-05
14,0.087238,97.7273,0.030546,100.0,6.079162869547907e-05
15,0.061078,98.8636,0.009269,100.0,5.567415893174884e-05
16,0.039853,99.4318,0.018019,100.0,5.05e-05
17,0.029252,100.0,0.007077,100.0,4.532584106825115e-05
18,0.046641,99.4318,0.005761,100.0,4.0208371304520894e-05
19,0.017482,100.0,0.004953,100.0,3.520365877844009e-05
20,0.025182,100.0,0.004718,100.0,3.036653616774789e-05
21,0.019912,100.0,0.004107,100.0,2.5750000000000002e-05
22,0.031315,99.4318,0.003765,100.0,2.140463001152258e-05
