epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.947795,31.25,1.885288,34.375,0.0001
2,1.003773,71.5909,1.049685,68.75,9.972883382072954e-05
3,0.548228,88.6364,0.280658,96.875,9.891830623632339e-05
4,0.272911,96.5909,0.168925,96.875,9.757729755661011e-05
5,0.16794,97.7273,0.149944,100.0,9.572050015330873e-05
6,0.085715,100.0,0.019765,100.0,9.336825748732972e-05
7,0.066221,99.4318,0.007785,100.0,9.05463412215599e-05
8,0.042289,100.0,0.03866,100.0,8.728566886113101e-05
9,0.04481,99.4318,0.015626,100.0,8.362196501476347e-05
10,0.040829,100.0,0.01989,100.0,7.959536998847741e-05
11,0.036573,99.4318,0.004785,100.0,7.524999999999999e-05
12,0.03425,99.4318,0.005056,100.0,7.06334638322521e-05
13,0.018202,100.0,0.003973,100.0,6.579634122155988e-05
14,0.032737,99.4318,0.005873,100.0,6.079162869547907e-05
15,0.032189,100.0,0.005623,100.0,5.567415893174884e-05
16,0.037569,99.4318,0.046536,96.875,5.05e-05
17,0.030207,100.0,0.004235,100.0,4.532584106825115e-05
