total_length_cm,right_propagation_cm,green_loss_dB,green_loss_dB_std,red_loss_dB,red_loss_dB_std,intra_distance,intra_distance_std,inter_distance,inter_distance_std,inter_intra_ratio,entropy_bits,entropy_bits_std,n_fibers,n_images,source
8.0,2.0,24.654176019575356,0.054943364312514495,4.303473805557611,0.044306633798639646,20.6058,3.93348,23.985,1.37843,1.164,5.77315,0.35787,5,50,metrics:figures/paper/Fig3_length_optimization/Fig3_length_optimization_data.csv; loss:fiber_loss/*.xlsx (Input/Output columns → transmission_loss_db)
9.0,3.0,28.386668952041003,0.23693820179502983,4.68623581530537,0.14930017626551803,13.2083,2.53378,20.6754,1.66372,1.56533,6.18342,0.62397,5,50,metrics:figures/paper/Fig3_length_optimization/Fig3_length_optimization_data.csv; loss:fiber_loss/*.xlsx (Input/Output columns → transmission_loss_db)
11.0,5.0,31.652258168649276,0.27580036337097047,5.1021497914965135,0.11311075947629605,22.5466,4.07308,27.7392,1.67322,1.23031,5.40523,0.495342,5,50,metrics:figures/paper/Fig3_length_optimization/Fig3_length_optimization_data.csv; loss:fiber_loss/*.xlsx (Input/Output columns → transmission_loss_db)
13.0,7.0,32.62630753698555,0.3455514700131221,5.27290787043684,0.06958407404814829,20.9797,5.08513,23.0601,2.06252,1.09916,5.20146,0.362018,5,50,metrics:figures/paper/Fig3_length_optimization/Fig3_length_optimization_data.csv; loss:fiber_loss/*.xlsx (Input/Output columns → transmission_loss_db)
16.0,10.0,34.689286048405044,0.5585402136156128,5.7443522940383485,0.304176486707768,12.4117,0.916246,15.6427,0.532551,1.26032,5.61424,0.345295,5,50,metrics:figures/paper/Fig3_length_optimization/Fig3_length_optimization_data.csv; loss:fiber_loss/*.xlsx (Input/Output columns → transmission_loss_db)
