epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.031128,25.5682,1.850165,31.25,0.0001
2,1.378326,59.6591,1.464838,46.875,9.972883382072954e-05
3,0.88999,76.7045,0.642995,87.5,9.891830623632339e-05
4,0.60446,86.9318,0.30185,93.75,9.757729755661011e-05
5,0.35769,95.4545,0.196942,96.875,9.572050015330873e-05
6,0.195928,97.7273,0.082817,100.0,9.336825748732972e-05
7,0.150476,96.5909,0.171057,96.875,9.05463412215599e-05
8,0.097618,99.4318,0.084189,100.0,8.728566886113101e-05
9,0.079016,98.8636,0.045878,100.0,8.362196501476347e-05
10,0.11037,97.1591,0.023779,100.0,7.959536998847741e-05
11,0.099827,97.7273,0.029479,100.0,7.524999999999999e-05
12,0.084278,98.8636,0.064514,100.0,7.06334638322521e-05
13,0.059846,99.4318,0.05098,100.0,6.579634122155988e-05
14,0.053513,99.4318,0.021621,100.0,6.079162869547907e-05
15,0.063052,98.2955,0.037281,100.0,5.567415893174884e-05
16,0.024629,100.0,0.010924,100.0,5.05e-05
17,0.028905,100.0,0.006605,100.0,4.532584106825115e-05
18,0.049945,98.8636,0.025078,100.0,4.0208371304520894e-05
