epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.1473,14.2045,2.03932,12.5,0.0001
2,1.899715,28.9773,1.639843,53.125,9.972883382072954e-05
3,1.383991,54.5455,1.451725,34.375,9.891830623632339e-05
4,0.977617,72.1591,0.802252,75.0,9.757729755661011e-05
5,0.678584,81.25,0.633691,81.25,9.572050015330873e-05
6,0.48096,86.3636,0.266616,93.75,9.336825748732972e-05
7,0.332088,90.9091,0.280425,93.75,9.05463412215599e-05
8,0.223893,94.8864,0.313432,90.625,8.728566886113101e-05
9,0.19334,96.0227,0.09126,100.0,8.362196501476347e-05
10,0.195445,94.3182,0.364903,84.375,7.959536998847741e-05
11,0.131841,97.7273,0.062174,96.875,7.524999999999999e-05
12,0.082855,99.4318,0.026553,100.0,7.06334638322521e-05
13,0.086347,99.4318,0.035303,100.0,6.579634122155988e-05
14,0.06351,98.8636,0.025505,100.0,6.079162869547907e-05
15,0.054882,99.4318,0.018283,100.0,5.567415893174884e-05
16,0.038188,100.0,0.009766,100.0,5.05e-05
17,0.043446,100.0,0.005356,100.0,4.532584106825115e-05
18,0.04554,100.0,0.010822,100.0,4.0208371304520894e-05
19,0.060146,99.4318,0.004883,100.0,3.520365877844009e-05
20,0.028295,100.0,0.003884,100.0,3.036653616774789e-05
21,0.031321,99.4318,0.00294,100.0,2.5750000000000002e-05
