epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.147553,17.0455,2.045423,18.75,0.0001
2,1.666481,40.3409,1.667026,34.375,9.972883382072954e-05
3,1.099004,71.0227,1.192109,53.125,9.891830623632339e-05
4,0.702573,83.5227,0.675258,87.5,9.757729755661011e-05
5,0.417491,87.5,0.376534,93.75,9.572050015330873e-05
6,0.277124,94.3182,0.39314,90.625,9.336825748732972e-05
7,0.287077,92.0455,0.193712,93.75,9.05463412215599e-05
8,0.193544,96.0227,0.091424,100.0,8.728566886113101e-05
9,0.105477,98.2955,0.083285,96.875,8.362196501476347e-05
10,0.105377,98.2955,0.095556,96.875,7.959536998847741e-05
11,0.089419,98.8636,0.084293,100.0,7.524999999999999e-05
12,0.07803,98.2955,0.025624,100.0,7.06334638322521e-05
13,0.103814,97.7273,0.145562,96.875,6.579634122155988e-05
14,0.077047,98.8636,0.133524,93.75,6.079162869547907e-05
15,0.048283,99.4318,0.058445,100.0,5.567415893174884e-05
16,0.025346,100.0,0.046409,100.0,5.05e-05
17,0.046157,100.0,0.029582,100.0,4.532584106825115e-05
18,0.045622,100.0,0.031499,100.0,4.0208371304520894e-05
19,0.035628,99.4318,0.059656,100.0,3.520365877844009e-05
20,0.020895,100.0,0.030639,100.0,3.036653616774789e-05
