epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.081874,20.4545,2.48256,21.875,0.0001
2,1.543109,50.0,1.724193,34.375,9.972883382072954e-05
3,1.007039,67.6136,1.092858,71.875,9.891830623632339e-05
4,0.61401,86.3636,0.579532,78.125,9.757729755661011e-05
5,0.377693,94.8864,0.465028,81.25,9.572050015330873e-05
6,0.27634,93.75,0.33936,96.875,9.336825748732972e-05
7,0.256753,93.1818,0.112509,100.0,9.05463412215599e-05
8,0.175195,96.5909,0.202957,93.75,8.728566886113101e-05
9,0.194904,96.0227,0.177011,96.875,8.362196501476347e-05
10,0.088548,98.8636,0.015754,100.0,7.959536998847741e-05
11,0.070361,99.4318,0.057727,100.0,7.524999999999999e-05
12,0.085475,99.4318,0.022255,100.0,7.06334638322521e-05
13,0.042536,100.0,0.013704,100.0,6.579634122155988e-05
14,0.039111,100.0,0.024816,100.0,6.079162869547907e-05
15,0.03806,100.0,0.008138,100.0,5.567415893174884e-05
16,0.03055,100.0,0.008343,100.0,5.05e-05
17,0.043737,100.0,0.013668,100.0,4.532584106825115e-05
18,0.029603,100.0,0.006273,100.0,4.0208371304520894e-05
19,0.029614,100.0,0.003197,100.0,3.520365877844009e-05
