epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.971363,25.5682,1.978826,21.875,0.0001
2,1.220009,67.6136,1.076514,65.625,9.972883382072954e-05
3,0.685429,84.6591,0.264141,90.625,9.891830623632339e-05
4,0.274689,98.2955,0.136735,100.0,9.757729755661011e-05
5,0.11558,99.4318,0.056376,100.0,9.572050015330873e-05
6,0.144158,97.1591,0.035815,100.0,9.336825748732972e-05
7,0.083069,98.8636,0.015062,100.0,9.05463412215599e-05
8,0.064729,98.8636,0.022434,100.0,8.728566886113101e-05
9,0.10938,98.2955,0.105244,100.0,8.362196501476347e-05
10,0.093878,97.7273,0.045744,100.0,7.959536998847741e-05
11,0.060947,99.4318,0.006394,100.0,7.524999999999999e-05
12,0.040993,98.8636,0.010692,100.0,7.06334638322521e-05
13,0.072355,97.7273,0.038869,96.875,6.579634122155988e-05
14,0.040401,100.0,0.005264,100.0,6.079162869547907e-05
15,0.021076,100.0,0.003331,100.0,5.567415893174884e-05
16,0.023397,100.0,0.004045,100.0,5.05e-05
