epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.909975,31.8182,2.076432,12.5,0.0001
2,1.196489,63.0682,1.23077,68.75,9.972883382072954e-05
3,0.533548,88.6364,0.541188,96.875,9.891830623632339e-05
4,0.244701,98.2955,0.20205,96.875,9.757729755661011e-05
5,0.116698,100.0,0.041817,100.0,9.572050015330873e-05
6,0.098918,97.7273,0.031067,100.0,9.336825748732972e-05
7,0.092831,98.2955,0.074724,96.875,9.05463412215599e-05
8,0.077252,99.4318,0.076648,96.875,8.728566886113101e-05
9,0.051215,100.0,0.008569,100.0,8.362196501476347e-05
10,0.039351,100.0,0.005135,100.0,7.959536998847741e-05
11,0.048906,99.4318,0.009463,100.0,7.524999999999999e-05
12,0.071922,98.8636,0.005133,100.0,7.06334638322521e-05
13,0.0494,100.0,0.269882,87.5,6.579634122155988e-05
14,0.052277,99.4318,0.013386,100.0,6.079162869547907e-05
15,0.06507,99.4318,0.004291,100.0,5.567415893174884e-05
16,0.043448,99.4318,0.003116,100.0,5.05e-05
17,0.023787,100.0,0.003019,100.0,4.532584106825115e-05
