epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.212119,22.7273,2.153871,12.5,0.0001
2,1.70738,38.0682,1.777114,37.5,9.972883382072954e-05
3,1.203989,67.6136,1.341128,53.125,9.891830623632339e-05
4,0.782199,81.8182,0.950258,75.0,9.757729755661011e-05
5,0.539653,84.6591,0.615561,84.375,9.572050015330873e-05
6,0.403783,89.2045,0.89329,65.625,9.336825748732972e-05
7,0.215917,94.3182,0.50041,81.25,9.05463412215599e-05
8,0.249266,93.75,0.393983,87.5,8.728566886113101e-05
9,0.226967,94.8864,0.248415,93.75,8.362196501476347e-05
10,0.140731,97.7273,0.407341,90.625,7.959536998847741e-05
11,0.14961,97.1591,0.267454,93.75,7.524999999999999e-05
12,0.108497,97.7273,0.150412,96.875,7.06334638322521e-05
13,0.099843,97.7273,0.139436,96.875,6.579634122155988e-05
14,0.060459,99.4318,0.049929,96.875,6.079162869547907e-05
15,0.059712,98.2955,0.059841,96.875,5.567415893174884e-05
16,0.049471,99.4318,0.02391,100.0,5.05e-05
17,0.061894,98.2955,0.04276,100.0,4.532584106825115e-05
18,0.047468,100.0,0.024933,100.0,4.0208371304520894e-05
19,0.078983,98.2955,0.028168,100.0,3.520365877844009e-05
20,0.032311,100.0,0.031532,100.0,3.036653616774789e-05
21,0.024368,100.0,0.040155,100.0,2.5750000000000002e-05
22,0.018704,100.0,0.021665,100.0,2.140463001152258e-05
23,0.024666,100.0,0.027468,100.0,1.737803498523653e-05
24,0.02097,100.0,0.020134,100.0,1.3714331138868993e-05
25,0.021417,100.0,0.022568,100.0,1.0453658778440105e-05
26,0.044491,99.4318,0.013511,100.0,7.631742512670283e-06
27,0.022061,100.0,0.019057,100.0,5.2794998466912506e-06
28,0.015255,100.0,0.017205,100.0,3.4227024433898994e-06
