epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.106479,21.5909,2.02135,15.625,0.0001
2,1.607072,46.0227,1.797758,43.75,9.972883382072954e-05
3,1.046906,72.7273,1.115573,68.75,9.891830623632339e-05
4,0.672377,78.4091,0.530311,90.625,9.757729755661011e-05
5,0.493361,87.5,0.423443,93.75,9.572050015330873e-05
6,0.36964,90.3409,0.777256,81.25,9.336825748732972e-05
7,0.320976,93.1818,0.841577,68.75,9.05463412215599e-05
8,0.192557,96.5909,0.263408,87.5,8.728566886113101e-05
9,0.15787,97.7273,0.228644,96.875,8.362196501476347e-05
10,0.148019,97.7273,0.295269,90.625,7.959536998847741e-05
11,0.07531,99.4318,0.168558,96.875,7.524999999999999e-05
12,0.077446,99.4318,0.167947,93.75,7.06334638322521e-05
13,0.067359,98.2955,0.17169,96.875,6.579634122155988e-05
14,0.063431,100.0,0.126291,96.875,6.079162869547907e-05
15,0.059148,100.0,0.132447,96.875,5.567415893174884e-05
16,0.056729,98.8636,0.106398,96.875,5.05e-05
17,0.050721,99.4318,0.071571,96.875,4.532584106825115e-05
18,0.044604,100.0,0.027185,100.0,4.0208371304520894e-05
19,0.040059,100.0,0.04479,96.875,3.520365877844009e-05
20,0.032336,100.0,0.067785,96.875,3.036653616774789e-05
21,0.023501,100.0,0.062746,96.875,2.5750000000000002e-05
22,0.061188,99.4318,0.092906,96.875,2.140463001152258e-05
23,0.037561,100.0,0.097363,96.875,1.737803498523653e-05
24,0.031187,100.0,0.079562,96.875,1.3714331138868993e-05
25,0.020576,100.0,0.049896,96.875,1.0453658778440105e-05
26,0.02984,100.0,0.078451,96.875,7.631742512670283e-06
27,0.030102,100.0,0.076401,96.875,5.2794998466912506e-06
28,0.016467,100.0,0.068683,96.875,3.4227024433898994e-06
29,0.014936,100.0,0.054911,96.875,2.0816937636766182e-06
30,0.031609,99.4318,0.06882,96.875,1.2711661792704665e-06
