epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.19412,15.3409,2.078977,12.5,0.0001
2,1.846351,31.25,1.794535,25.0,9.972883382072954e-05
3,1.242808,60.7955,1.126413,62.5,9.891830623632339e-05
4,0.846482,79.5455,0.684234,75.0,9.757729755661011e-05
5,0.559737,88.6364,0.553786,81.25,9.572050015330873e-05
6,0.347737,91.4773,0.434156,87.5,9.336825748732972e-05
7,0.243843,93.75,0.421853,90.625,9.05463412215599e-05
8,0.21181,95.4545,0.462493,84.375,8.728566886113101e-05
9,0.181691,98.8636,0.195498,100.0,8.362196501476347e-05
10,0.154499,96.5909,0.2052,93.75,7.959536998847741e-05
11,0.116323,97.7273,0.112863,96.875,7.524999999999999e-05
12,0.103982,98.2955,0.070446,100.0,7.06334638322521e-05
13,0.060884,98.2955,0.072493,100.0,6.579634122155988e-05
14,0.084157,97.7273,0.066987,96.875,6.079162869547907e-05
15,0.050513,99.4318,0.035457,100.0,5.567415893174884e-05
16,0.060269,98.2955,0.034403,100.0,5.05e-05
17,0.043639,100.0,0.027764,100.0,4.532584106825115e-05
18,0.047234,99.4318,0.059224,100.0,4.0208371304520894e-05
19,0.04404,100.0,0.020129,100.0,3.520365877844009e-05
20,0.032395,100.0,0.036167,96.875,3.036653616774789e-05
21,0.027274,100.0,0.017352,100.0,2.5750000000000002e-05
