path,ext,size_kb,mtime_utc,figure_role,training_vs_paper,cjk_in_path,likely_generator_script,likely_source_data,deprecated_hint,recommended_disposition,git_tracked
paper_assets/png/figures_softcopyright_screenshot_step_stop_camera.png,.png,230.4,2026-05-10T18:10Z,gui_debug_or_archive,non_paper_or_legacy,False,scripts/collect_paper_assets.py,unknown,,supplementary_fig8_or_archive,False
paper_assets/png/publication_publication_fig02_speckle_response.png,.png,3862.8,2026-05-12T07:49Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/png/publication_publication_fig02_speckle_response_pseudocolor.png,.png,8051.2,2026-05-12T07:49Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/png/publication_publication_fig03_length_optimization.png,.png,535.2,2026-05-12T07:49Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/png/publication_publication_fig04_cross_fiber_auth.png,.png,498.2,2026-05-12T07:49Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,results/fiber_auth/auth_matrix.json; results/*/test_predictions.csv,,redraw_or_copy_into_figures_paper,False
paper_assets/png/publication_publication_fig04_length_optimization.png,.png,535.2,2026-05-12T07:49Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/png/publication_publication_fig05_dual_channel_robustness.png,.png,493.4,2026-05-12T07:49Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/png/publication_supplementary_fig_s1_ncc_hd.png,.png,172.0,2026-05-12T07:52Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/png/publication_supplementary_fig_s2_reinstallation_robustness.png,.png,160.3,2026-05-12T07:52Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/competition_fig4_length_optimization.svg,.svg,78.3,2026-05-12T08:15Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,results/length_optimization_green/tables/per_length_summary.csv,,redraw_or_copy_into_figures_paper,False
