epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.18916,22.7273,2.028087,21.875,0.0001
2,1.390206,57.3864,1.667071,25.0,9.972883382072954e-05
3,0.924977,73.2955,1.079251,53.125,9.891830623632339e-05
4,0.602802,84.6591,0.540178,81.25,9.757729755661011e-05
5,0.340322,93.1818,0.400082,90.625,9.572050015330873e-05
6,0.224957,97.1591,0.168486,96.875,9.336825748732972e-05
7,0.197978,97.7273,0.177314,93.75,9.05463412215599e-05
8,0.146687,97.7273,0.348518,87.5,8.728566886113101e-05
9,0.167951,95.4545,0.247416,87.5,8.362196501476347e-05
10,0.105324,97.7273,0.107432,96.875,7.959536998847741e-05
11,0.069222,98.8636,0.060546,100.0,7.524999999999999e-05
12,0.089667,97.7273,0.164955,93.75,7.06334638322521e-05
13,0.152257,97.1591,0.054646,100.0,6.579634122155988e-05
14,0.063168,99.4318,0.048108,100.0,6.079162869547907e-05
15,0.046647,100.0,0.025099,100.0,5.567415893174884e-05
16,0.038411,100.0,0.017428,100.0,5.05e-05
17,0.024896,100.0,0.014224,100.0,4.532584106825115e-05
18,0.047333,99.4318,0.033544,100.0,4.0208371304520894e-05
19,0.025892,100.0,0.016363,100.0,3.520365877844009e-05
20,0.024622,100.0,0.010809,100.0,3.036653616774789e-05
21,0.015113,100.0,0.009426,100.0,2.5750000000000002e-05
22,0.020896,100.0,0.007996,100.0,2.140463001152258e-05
23,0.017296,100.0,0.010997,100.0,1.737803498523653e-05
