fpr,tpr
0.0,0.0
0.0010598834128245894,0.0
0.002649708532061473,0.0
0.0037095919448860626,0.0
0.0047694753577106515,0.0
0.006359300476947536,0.0
0.007419183889772125,0.0
0.010598834128245893,0.0
0.012188659247482777,0.0
0.013248542660307366,0.0
0.017488076311605722,0.0
0.019077901430842606,0.0
0.0196078431372549,0.0
0.02066772655007949,0.0
0.024377318494965553,0.0
0.028616852146263912,0.0
0.03232644409114997,0.0
0.033386327503974564,0.0
0.034976152623211444,0.0
0.036036036036036036,0.0
0.03709591944886063,0.0
0.03815580286168521,0.0
0.041865394806571275,0.0
0.04292527821939587,0.0
0.046104928457869634,0.0
0.047164811870694226,0.0
0.04769475357710652,0.0
0.048754636989931106,0.0
0.05087440381558029,0.0
0.051934287228404874,0.0
0.052994170641229466,0.0
0.05405405405405406,0.0
0.057233704292527825,0.0
0.058823529411764705,0.0
0.06306306306306306,0.0
0.06518282988871224,0.0
0.07101218865924748,0.0
0.07207207207207207,0.0
0.08108108108108109,0.0
0.08214096449390568,0.0
0.08479067302596714,0.0
0.08585055643879173,0.0
0.09114997350291468,0.0
0.09220985691573927,0.0
0.09803921568627451,0.0
0.0990990990990991,0.0
0.10651828298887123,0.0
0.10757816640169582,0.0
0.1086380498145204,0.0
0.10969793322734499,0.0
0.11446740858505565,0.0
0.11552729199788023,0.0
0.11711711711711711,0.0
0.1181770005299417,0.0
0.12135665076841548,0.0
0.12241653418124006,0.0
0.1383147853736089,0.0
0.13937466878643348,0.0
0.14149443561208266,0.0
0.14255431902490726,0.0
0.1489136195018548,0.0
0.1499735029146794,0.0
0.15209326974032855,0.0
0.15315315315315314,0.0
0.15633280339162692,0.0
0.1579226285108638,0.0
0.1589825119236884,0.0
0.16163222045574988,0.0
0.16269210386857447,0.0
0.17011128775834658,0.0
0.17117117117117117,0.0
0.1902490726020138,0.0
0.19130895601483835,0.0
0.19554848966613672,0.0
0.1966083730789613,0.0
0.21250662427133016,0.0
0.21356650768415475,0.0
0.21409644939056705,0.0
0.21515633280339164,0.0
0.22098569157392686,0.0
0.22204557498675145,0.0
0.23529411764705882,0.0
0.2363540010598834,0.0
0.24324324324324326,0.0
0.24430312665606782,0.0
0.246422893481717,0.0
0.2474827768945416,0.0
0.25967143614202437,0.0
0.26073131955484896,0.0
0.26179120296767355,0.0
0.26391096979332274,0.0
0.2649708532061473,0.0
0.2660307366189719,0.0
0.27239003709591947,0.0
0.27344992050874406,0.0
0.28298887122416533,0.0
0.2840487546369899,0.0
0.2882882882882883,0.0
0.2893481717011129,0.0
0.2898781134075252,0.0
0.29093799682034976,0.0
0.2983571807101219,0.0
0.2994170641229465,0.0
0.30895601483836777,0.0
0.31001589825119236,0.0
0.3174350821409645,0.0
0.3184949655537891,0.0
0.3481717011128776,0.0
0.3492315845257022,0.0
0.36195018547959723,0.0
0.3630100688924218,0.0
0.37095919448860626,0.0
0.37201907790143085,0.0
0.37307896131425544,0.0
0.37413884472708003,0.0
0.3969263381028087,0.0
0.3979862215156333,0.0
0.4069952305246423,0.0
0.40805511393746685,0.0
0.40858505564387915,0.0
0.40964493905670374,0.0
0.4117647058823529,0.0
0.4138844727080021,0.0
0.4160042395336513,0.0
0.4170641229464759,0.0
0.42130365659777425,0.0
0.42236354001059884,0.0
0.4281928987811341,0.0
0.4292527821939587,0.0
0.4303126656067833,0.0
0.43137254901960786,0.0
0.43296237413884475,0.0
0.4350821409644939,0.0
0.43826179120296765,0.0
0.43932167461579225,0.0
