enrolled_fiber,test_fiber,accuracy_pct
Fiber1,Fiber1,97.43589743589743
Fiber1,Fiber2,5.113122171945701
Fiber1,Fiber3,5.295238095238095
Fiber1,Fiber4,2.508361204013378
Fiber1,Fiber5,1.4492753623188406
Fiber2,Fiber1,3.121516164994426
Fiber2,Fiber2,95.2991452991453
Fiber2,Fiber3,3.3904761904761904
Fiber2,Fiber4,3.678929765886288
Fiber2,Fiber5,4.570791527313267
Fiber3,Fiber1,4.849498327759197
Fiber3,Fiber2,3.8461538461538463
Fiber3,Fiber3,92.94871794871794
Fiber3,Fiber4,5.908584169453735
Fiber3,Fiber5,4.682274247491639
Fiber4,Fiber1,3.2887402452619843
Fiber4,Fiber2,3.8461538461538463
Fiber4,Fiber3,4.3428571428571425
Fiber4,Fiber4,98.71794871794872
Fiber4,Fiber5,2.2853957636566333
Fiber5,Fiber1,4.292084726867335
Fiber5,Fiber2,5.429864253393665
Fiber5,Fiber3,5.0285714285714285
Fiber5,Fiber4,2.5641025641025643
Fiber5,Fiber5,93.58974358974359
