epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.001783,22.1591,2.164907,21.875,0.0001
2,1.706535,36.3636,1.88236,34.375,9.972883382072954e-05
3,1.194493,64.7727,1.114025,62.5,9.891830623632339e-05
4,0.775345,80.1136,0.910622,65.625,9.757729755661011e-05
5,0.496073,86.9318,0.443999,90.625,9.572050015330873e-05
6,0.290567,94.8864,0.331565,96.875,9.336825748732972e-05
7,0.150781,98.8636,0.275783,93.75,9.05463412215599e-05
8,0.229346,94.3182,0.28168,93.75,8.728566886113101e-05
9,0.132234,98.2955,0.170618,96.875,8.362196501476347e-05
10,0.124824,98.2955,0.153127,96.875,7.959536998847741e-05
11,0.093202,99.4318,0.18223,96.875,7.524999999999999e-05
12,0.082476,98.8636,0.162304,96.875,7.06334638322521e-05
13,0.051653,100.0,0.179574,93.75,6.579634122155988e-05
14,0.080096,98.8636,0.076291,96.875,6.079162869547907e-05
15,0.079796,99.4318,0.06091,100.0,5.567415893174884e-05
16,0.051184,99.4318,0.034404,100.0,5.05e-05
17,0.03609,100.0,0.054524,100.0,4.532584106825115e-05
18,0.034142,100.0,0.061341,96.875,4.0208371304520894e-05
19,0.046768,99.4318,0.058204,100.0,3.520365877844009e-05
20,0.023532,100.0,0.035996,100.0,3.036653616774789e-05
21,0.02009,100.0,0.040288,100.0,2.5750000000000002e-05
22,0.02583,100.0,0.032462,100.0,2.140463001152258e-05
23,0.028253,99.4318,0.042069,100.0,1.737803498523653e-05
24,0.019413,100.0,0.025554,100.0,1.3714331138868993e-05
25,0.029561,100.0,0.048506,96.875,1.0453658778440105e-05
26,0.016785,100.0,0.042928,96.875,7.631742512670283e-06
27,0.030218,100.0,0.030375,100.0,5.2794998466912506e-06
